name,date,case
Afghanistan,25/02/2020,0.122
Afghanistan,26/02/2020,0.122
Afghanistan,27/02/2020,0.122
Afghanistan,28/02/2020,0.122
Afghanistan,29/02/2020,0.122
Afghanistan,01/03/2020,0.122
Afghanistan,02/03/2020,0.122
Afghanistan,03/03/2020,0.122
Afghanistan,04/03/2020,0.122
Afghanistan,05/03/2020,0.122
Afghanistan,06/03/2020,0.122
Afghanistan,07/03/2020,0.195
Afghanistan,08/03/2020,0.195
Afghanistan,09/03/2020,0.195
Afghanistan,10/03/2020,0.195
Afghanistan,11/03/2020,0.267
Afghanistan,12/03/2020,0.267
Afghanistan,13/03/2020,0.267
Afghanistan,14/03/2020,0.34
Afghanistan,15/03/2020,0.486
Afghanistan,16/03/2020,0.608
Afghanistan,17/03/2020,0.632
Afghanistan,18/03/2020,0.632
Afghanistan,19/03/2020,0.632
Afghanistan,20/03/2020,0.584
Afghanistan,21/03/2020,0.584
Afghanistan,22/03/2020,0.827
Afghanistan,23/03/2020,0.973
Afghanistan,24/03/2020,1.021
Afghanistan,25/03/2020,1.799
Afghanistan,26/03/2020,1.945
Afghanistan,27/03/2020,2.213
Afghanistan,28/03/2020,2.577
Afghanistan,29/03/2020,2.772
Afghanistan,30/03/2020,2.772
Afghanistan,31/03/2020,4.036
Afghanistan,01/04/2020,4.668
Afghanistan,02/04/2020,5.714
Afghanistan,03/04/2020,6.54
Afghanistan,04/04/2020,6.565
Afghanistan,05/04/2020,7.27
Afghanistan,06/04/2020,8.194
Afghanistan,07/04/2020,8.923
Afghanistan,08/04/2020,10.285
Afghanistan,09/04/2020,10.795
Afghanistan,10/04/2020,12.668
Afghanistan,11/04/2020,12.668
Afghanistan,12/04/2020,13.494
Afghanistan,13/04/2020,14.759
Afghanistan,14/04/2020,16.169
Afghanistan,15/04/2020,18.722
Afghanistan,16/04/2020,19.305
Afghanistan,17/04/2020,20.545
Afghanistan,18/04/2020,22.077
Afghanistan,19/04/2020,22.685
Afghanistan,20/04/2020,24.217
Afghanistan,21/04/2020,24.946
Afghanistan,22/04/2020,26.551
Afghanistan,23/04/2020,28.593
Afghanistan,24/04/2020,29.809
Afghanistan,25/04/2020,32.337
Afghanistan,26/04/2020,35.571
Afghanistan,27/04/2020,37.225
Afghanistan,28/04/2020,41.407
Afghanistan,29/04/2020,44.421
Afghanistan,30/04/2020,44.421
Afghanistan,01/05/2020,52.785
Afghanistan,02/05/2020,60.031
Afghanistan,03/05/2020,60.031
Afghanistan,04/05/2020,60.031
Afghanistan,05/05/2020,60.031
Afghanistan,06/05/2020,78.388
Afghanistan,07/05/2020,82.473
Afghanistan,08/05/2020,86.63
Afghanistan,09/05/2020,86.63
Afghanistan,10/05/2020,107.03
Afghanistan,11/05/2020,113.4
Afghanistan,12/05/2020,120.767
Afghanistan,13/05/2020,120.767
Afghanistan,14/05/2020,129.812
Afghanistan,15/05/2020,147.172
Afghanistan,16/05/2020,155.657
Afghanistan,17/05/2020,161.323
Afghanistan,18/05/2020,171.948
Afghanistan,19/05/2020,186.123
Afghanistan,20/05/2020,198.037
Afghanistan,21/05/2020,210.947
Afghanistan,22/05/2020,224.077
Afghanistan,23/05/2020,241.972
Afghanistan,24/05/2020,259.38
Afghanistan,25/05/2020,271.829
